Nombre;([TotalCasos]);TasaCriminalidad
PALMITAS;110;13,424456920
SANTA CRUZ;595;5,218977782
BUENOS AIRES;611;4,442570147
POPULAR;758;5,699633810
MANRIQUE;992;6,086262961
VILLA HERMOSA;1050;7,502679528
DOCE DE OCTUBRE;1131;5,762558148
ALTAVISTA;1160;27,515536790
CASTILLA;1207;7,932543803
ROBLEDO;1257;7,066800094
ARANJUEZ;1415;8,641326917
SANTA ELENA;2104;96,389957852
SAN ANTONIO DE PRADO;3034;23,235688302
SAN CRISTOBAL;4080;36,399971451
SAN JAVIER;9271;65,864817630
GUAYABAL;20125;208,631378159
LA AMERICA;20284;207,619398555
BELEN;35981;182,067046173
EL POBLADO;37797;280,241412292
LAURELES;50186;406,729935408
LA CANDELARIA;102403;1192,938106499
